image_path,image_name,category,stimulus_number,clothing_type,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,participant,session,counterbalance,block_number,block_name,trial_in_block,trial_global,required_action,response_key,response_action,correct,rt,participant,session,counterbalance,
vaast images and script/shc11.png,shc11.png,SHC,11,jacket,0,36,36,27,,,001,001,B,1,Incongruent,37,37,avoid,down,approach,0,0.4427068330041948,001,001,B,
vaast images and script/fhc19.png,fhc19.png,FHC,19,hoodie,0,37,37,10,,,001,001,B,1,Incongruent,38,38,approach,up,avoid,0,0.4162307500009774,001,001,B,
vaast images and script/fhc2.png,fhc2.png,FHC,2,shirt,0,38,38,11,,,001,001,B,1,Incongruent,39,39,approach,down,approach,1,0.4847981249986333,001,001,B,
vaast images and script/fhc8.png,fhc8.png,FHC,8,pants,0,39,39,23,,,001,001,B,1,Incongruent,40,40,approach,down,approach,1,0.43463858400355093,001,001,B,
vaast images and script/fhc11.png,fhc11.png,FHC,11,jacket,0,40,40,2,,,001,001,B,1,Incongruent,41,41,approach,down,approach,1,0.47482099999615457,001,001,B,
vaast images and script/shc14.png,shc14.png,SHC,14,jacket,0,41,41,30,,,001,001,B,1,Incongruent,42,42,avoid,up,avoid,1,0.7586377909974544,001,001,B,
vaast images and script/shc7.png,shc7.png,SHC,7,pants,0,42,42,47,,,001,001,B,1,Incongruent,43,43,avoid,down,approach,0,0.6968153750058264,001,001,B,
vaast images and script/fhc23.png,fhc23.png,FHC,23,beanie,0,43,43,15,,,001,001,B,1,Incongruent,44,44,approach,down,approach,1,0.9629744170015329,001,001,B,
vaast images and script/fhc12.png,fhc12.png,FHC,12,jacket,0,44,44,3,,,001,001,B,1,Incongruent,45,45,approach,down,approach,1,0.683813084004214,001,001,B,
vaast images and script/shc18.png,shc18.png,SHC,18,hoodie,0,45,45,34,,,001,001,B,1,Incongruent,46,46,avoid,up,avoid,1,0.8051801659967168,001,001,B,
vaast images and script/fhc9.png,fhc9.png,FHC,9,pants,0,46,46,24,,,001,001,B,1,Incongruent,47,47,approach,down,approach,1,0.6746689999999944,001,001,B,
vaast images and script/shc13.png,shc13.png,SHC,13,jacket,0,47,47,29,,,001,001,B,1,Incongruent,48,48,avoid,up,avoid,1,0.876140458000009,001,001,B,
vaast images and script/shc21.png,shc21.png,SHC,21,beanie,0,48,48,38,,,001,001,B,1,Incongruent,49,49,avoid,up,avoid,1,0.7362005830000271,001,001,B,
vaast images and script/shc17.png,shc17.png,SHC,17,hoodie,0,49,49,33,,,001,001,B,1,Incongruent,50,50,avoid,up,avoid,1,0.5480964580056025,001,001,B,
vaast images and script/shc4.png,shc4.png,SHC,4,shirt,0,0,0,44,,,001,001,B,2,Congruent,1,51,approach,down,approach,1,0.6129787909958395,001,001,B,
vaast images and script/shc6.png,shc6.png,SHC,6,pants,0,1,1,46,,,001,001,B,2,Congruent,2,52,approach,down,approach,1,0.8322611250041518,001,001,B,
vaast images and script/shc11.png,shc11.png,SHC,11,jacket,0,2,2,27,,,001,001,B,2,Congruent,3,53,approach,down,approach,1,0.5688201250013663,001,001,B,
vaast images and script/fhc5.png,fhc5.png,FHC,5,shirt,0,3,3,20,,,001,001,B,2,Congruent,4,54,avoid,up,avoid,1,0.7594497079990106,001,001,B,
vaast images and script/fhc11.png,fhc11.png,FHC,11,jacket,0,4,4,2,,,001,001,B,2,Congruent,5,55,avoid,up,avoid,1,0.9803710830019554,001,001,B,
vaast images and script/shc19.png,shc19.png,SHC,19,hoodie,0,5,5,35,,,001,001,B,2,Congruent,6,56,approach,down,approach,1,0.5296334160011611,001,001,B,
